date,country,inflation
1997-01-01,US,3.0381
1997-02-01,US,3.0323
1997-03-01,US,2.7653
1997-04-01,US,2.4343
1997-05-01,US,2.2379
1997-06-01,US,2.2336
1997-07-01,US,2.1656
1997-08-01,US,2.2901
1997-09-01,US,2.2194
1997-10-01,US,2.0860
1997-11-01,US,1.8904
1997-12-01,US,1.6970
1998-01-01,US,1.6311
1998-02-01,US,1.4402
1998-03-01,US,1.3767
1998-04-01,US,1.4384
1998-05-01,US,1.6886
1998-06-01,US,1.6230
1998-07-01,US,1.7456
1998-08-01,US,1.6169
1998-09-01,US,1.4268
1998-10-01,US,1.4861
1998-11-01,US,1.4842
1998-12-01,US,1.6069
1999-01-01,US,1.6667
1999-02-01,US,1.6667
1999-03-01,US,1.7284
1999-04-01,US,2.2811
1999-05-01,US,2.0910
1999-06-01,US,1.9656
1999-07-01,US,2.1446
1999-08-01,US,2.2644
1999-09-01,US,2.6300
1999-10-01,US,2.5625
1999-11-01,US,2.6204
1999-12-01,US,2.6764
2000-01-01,US,2.7930
2000-02-01,US,3.2180
2000-03-01,US,3.7621
2000-04-01,US,3.0139
2000-05-01,US,3.1325
2000-06-01,US,3.7349
2000-07-01,US,3.5993
2000-08-01,US,3.3513
2000-09-01,US,3.4565
2000-10-01,US,3.4503
2000-11-01,US,3.4442
2000-12-01,US,3.4360
2001-01-01,US,3.7212
2001-02-01,US,3.5294
2001-03-01,US,2.9825
2001-04-01,US,3.2183
2001-05-01,US,3.5631
2001-06-01,US,3.1940
2001-07-01,US,2.7215
2001-08-01,US,2.7215
2001-09-01,US,2.5922
2001-10-01,US,2.1277
2001-11-01,US,1.8944
2001-12-01,US,1.6037
2002-01-01,US,1.1959
2002-02-01,US,1.1364
2002-03-01,US,1.3629
2002-04-01,US,1.6440
2002-05-01,US,1.2408
2002-06-01,US,1.0692
2002-07-01,US,1.4656
2002-08-01,US,1.7475
2002-09-01,US,1.5160
2002-10-01,US,2.0270
2002-11-01,US,2.2535
2002-12-01,US,2.4803
2003-01-01,US,2.7575
2003-02-01,US,3.1461
2003-03-01,US,3.0252
2003-04-01,US,2.1751
2003-05-01,US,1.8942
2003-06-01,US,1.9488
2003-07-01,US,2.0556
2003-08-01,US,2.2161
2003-09-01,US,2.3783
2003-10-01,US,2.0419
2003-11-01,US,1.9284
2003-12-01,US,2.0352
2004-01-01,US,2.0263
2004-02-01,US,1.6885
2004-03-01,US,1.7401
2004-04-01,US,2.2926
2004-05-01,US,2.8978
2004-06-01,US,3.1677
2004-07-01,US,2.9396
2004-08-01,US,2.5474
2004-09-01,US,2.5392
2004-10-01,US,3.1909
2004-11-01,US,3.6216
2004-12-01,US,3.3423
2005-01-01,US,2.8449
2005-02-01,US,3.0530
2005-03-01,US,3.2068
2005-04-01,US,3.3618
2005-05-01,US,2.8693
2005-06-01,US,2.5410
2005-07-01,US,3.0672
2005-08-01,US,3.6469
2005-09-01,US,4.7418
2005-10-01,US,4.3501
2005-11-01,US,3.3385
2005-12-01,US,3.3385
2006-01-01,US,4.0188
2006-02-01,US,3.6383
2006-03-01,US,3.4179
2006-04-01,US,3.6138
2006-05-01,US,3.9773
2006-06-01,US,4.1817
2006-07-01,US,4.1047
2006-08-01,US,3.9266
2006-09-01,US,2.0121
2006-10-01,US,1.4063
2006-11-01,US,1.9687
2006-12-01,US,2.5240
2007-01-01,US,2.0758
2007-02-01,US,2.4203
2007-03-01,US,2.7982
2007-04-01,US,2.5929
2007-05-01,US,2.7099
2007-06-01,US,2.6928
2007-07-01,US,2.3179
2007-08-01,US,1.8974
2007-09-01,US,2.8338
2007-10-01,US,3.6107
2007-11-01,US,4.3733
2007-12-01,US,4.1088
2008-01-01,US,4.2947
2008-02-01,US,4.1430
2008-03-01,US,3.9749
2008-04-01,US,3.9038
2008-05-01,US,4.0884
2008-06-01,US,4.9360
2008-07-01,US,5.4975
2008-08-01,US,5.3080
2008-09-01,US,4.9533
2008-10-01,US,3.7311
2008-11-01,US,1.0999
2008-12-01,US,-0.0222
2009-01-01,US,-0.1136
2009-02-01,US,0.0085
2009-03-01,US,-0.4465
2009-04-01,US,-0.5763
2009-05-01,US,-1.0158
2009-06-01,US,-1.2292
2009-07-01,US,-1.9588
2009-08-01,US,-1.4838
2009-09-01,US,-1.3779
2009-10-01,US,-0.2240
2009-11-01,US,1.9146
2009-12-01,US,2.8141
2010-01-01,US,2.6211
2010-02-01,US,2.1513
2010-03-01,US,2.2862
2010-04-01,US,2.2068
2010-05-01,US,2.0035
2010-06-01,US,1.1216
2010-07-01,US,1.3408
2010-08-01,US,1.1502
2010-09-01,US,1.1183
2010-10-01,US,1.1667
2010-11-01,US,1.0845
2010-12-01,US,1.4378
2011-01-01,US,1.7008
2011-02-01,US,2.1249
2011-03-01,US,2.6192
